Unnamed: 0,name,celex_code,doc_code,title,publication_date,doc_type,doc_type_code,author,languages,quicksearch_url,classification,date_effect,date_deadline,date_sig
21,no name,32022R0975,2022/975,Commission Delegated Regulation (EU) 2022/975 of 17 March 2022 amending the regulatory technical standards laid down in Delegated Regulation (EU) 2017/653 as regards the extension of the transitional arrangement laid down in Article 14(2) of that Regulation and amending the regulatory technical standards laid down in Delegated Regulation (EU) 2021/2268 as regards the date of application of that Regulation (Text with EEA relevance),2022-03-17,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F975&lang=en&type=quick&qid=1691484496786,"['consumer information', 'regulation of investments', 'insurance', 'investment company', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services']",2022-07-14,,
22,no name,32017R2402,2017/2402,"Regulation (EU) 2017/2402 of the European Parliament and of the Council of 12 December 2017 laying down a general framework for securitisation and creating a specific framework for simple, transparent and standardised securitisation, and amending Directives 2009/65/EC, 2009/138/EC and 2011/61/EU and Regulations (EC) No 1060/2009 and (EU) No 648/2012",2017-12-12,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2017%2F2402&lang=en&type=quick&qid=1691484542811,"['investment', 'financial market', 'banking', 'credit', 'credit institution', 'investment company', 'capital market', 'financial legislation']",2018-01-17,2018-01-17,2017-12-12
23,no name,32019L2034,2019/2034,"Directive (EU) 2019/2034 of the European Parliament and of the Council of 27 November 2019 on the prudential supervision of investment firms and amending Directives 2002/87/EC, 2009/65/EC, 2011/61/EU, 2013/36/EU, 2014/59/EU and 2014/65/EU (Text with EEA relevance)",2019-11-27,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2034&lang=en&type=quick&qid=1691484558333,"['financial control', 'private-sector liquidity', 'investment company', 'capital market', 'disclosure of information', 'financial legislation', 'financial supervision']",2019-12-25,2021-06-26,2019-11-27
24,no name,32019L2162,2019/2162,Directive (EU) 2019/2162 of the European Parliament and of the Council of 27 November 2019 on the issue of covered bonds and covered bond public supervision and amending Directives 2009/65/EC and 2014/59/EU (Text with EEA relevance),2019-11-27,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2162&lang=en&type=quick&qid=1691484573516,"['investment', 'money-market liquidity', 'bond', 'credit institution', 'investment company', 'mortgage bank', 'capital market', 'financial legislation', 'issue of securities', 'financial supervision']",2020-01-07,2022-07-08,2019-11-27
25,no name,32022L2556,2022/2556,"Directive (EU) 2022/2556 of the European Parliament and of the Council of 14 December 2022 amending Directives 2009/65/EC, 2009/138/EC, 2011/61/EU, 2013/36/EU, 2014/59/EU, 2014/65/EU, (EU) 2015/2366 and (EU) 2016/2341 as regards digital operational resilience for the financial sector (Text with EEA relevance)",2022-12-14,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F2556&lang=en&type=quick&qid=1691484588986,"['innovation', 'financial institution', 'electronic money', 'information technology', 'financial legislation', 'financial services', 'information security', 'virtual currency', 'digital single market', 'blockchain']",2023-01-16,,2022-12-14
26,no name,32016R0438,2016/438,Commission Delegated Regulation (EU) 2016/438 of 17 December 2015 supplementing Directive 2009/65/EC of the European Parliament and of the Council with regard to obligations of depositaries (Text with EEA relevance),2015-12-17,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F438&lang=en&type=quick&qid=1691484619103,"['investment protection', 'business management', 'financial management', 'holding company', 'approximation of laws', 'investment company', 'securities', 'right of establishment', 'financial legislation']",2016-04-13,,
27,no name,32019L1160,2019/1160,Directive (EU) 2019/1160 of the European Parliament and of the Council of 20 June 2019 amending Directives 2009/65/EC and 2011/61/EU with regard to cross-border distribution of collective investment undertakings (Text with EEA relevance.),2019-06-20,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1160&lang=en&type=quick&qid=1691484709754,"['marketing', 'investment transaction', 'capital market', 'financial legislation', 'UCITS fund', 'European Securities and Markets Authority', 'alternative investment']",2019-08-01,2023-08-02,2019-06-20
28,no name,32013D0014,2013/14,"2013/14/EU: Decision of the European Parliament and of the Council of 12 December 2012 on the mobilisation of the European Globalisation Adjustment Fund, in accordance with point 28 of the Interinstitutional Agreement of 17 May 2006 between the European Parliament, the Council and the Commission on budgetary discipline and sound financial management (application EGF/2011/013 DK/Flextronics from Denmark)",2012-12-12,Decision,D,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2013%2F14&lang=en&type=quick&qid=1691484724041,"['electronics industry', 'collective dismissal', 'payment appropriation', 'Denmark', 'general budget (EU)', 'distribution of EU funding', 'commitment of expenditure', 'European Globalisation Adjustment Fund']",2013-02-01,,
29,no name,32021L2261,2021/2261,Directive (EU) 2021/2261 of the European Parliament and of the Council of 15 December 2021 amending Directive 2009/65/EC as regards the use of key information documents by management companies of undertakings for collective investment in transferable securities (UCITS) (Text with EEA relevance),2021-12-15,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2261&lang=en&type=quick&qid=1691484769529,"['investment protection', 'consumer information', 'approximation of laws', 'regulation of investments', 'investment company', 'securities', 'disclosure of information', 'financial legislation', 'financial services']",2021-12-21,,2021-12-15
30,no name,32021R2178,2021/2178,"Commission Delegated Regulation (EU) 2021/2178 of 6 July 2021 supplementing Regulation (EU) 2020/852 of the European Parliament and of the Council by specifying the content and presentation of information to be disclosed by undertakings subject to Articles 19a or 29a of Directive 2013/34/EU concerning environmentally sustainable economic activities, and specifying the methodology to comply with that disclosure obligation (Text with EEA relevance)",2021-07-06,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2178&lang=en&type=quick&qid=1691484835375,"['investment', 'credit institution', 'insurance company', 'technical specification', 'investment company', 'climate change policy', 'disclosure of information', 'economic instrument for the environment', 'EU environmental policy', 'economic activity']",2021-12-30,2022-12-31,
31,no name,32022R0246,2022/246,"Commission Implementing Regulation (EU) 2022/246 of 13 December 2021 amending Implementing Regulation (EU) 2017/39 as regards the aid applications, payment of the aid and on-the-spot checks",2021-12-13,Implementing regulation,R,"European Commission, Directorate-General for Agriculture and Rural Development","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F246&lang=en&type=quick&qid=1691484866824,"['fruit', 'eating habits', 'drinking milk', 'vegetable', 'supply', 'costing', 'EU Member State', 'eligibility criteria', 'EU aid', 'educational institution']",2022-02-25,,
32,no name,32022R0858,2022/858,"Regulation (EU) 2022/858 of the European Parliament and of the Council of 30 May 2022 on a pilot regime for market infrastructures based on distributed ledger technology, and amending Regulations (EU) No 600/2014 and (EU) No 909/2014 and Directive 2014/65/EU (Text with EEA relevance)",2022-05-30,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F858&lang=en&type=quick&qid=1691484911569,"['investment protection', 'financial instrument', 'electronic money', 'consumer protection', 'information technology applications', 'financial legislation', 'financial services', 'virtual currency', 'digital single market', 'blockchain']",2021-07-04,2023-03-23,2022-05-30
33,no name,32014R0909,909/2014,Regulation (EU) No 909/2014 of the European Parliament and of the Council of 23 July 2014 on improving securities settlement in the European Union and on central securities depositories and amending Directives 98/26/EC and 2014/65/EU and Regulation (EU) No 236/2012  Text with EEA relevance,2014-07-23,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=909%2F2014&lang=en&type=quick&qid=1691484927052,"['financial institution', 'financial instrument', 'liquidity control', 'financial control', 'sales agent', 'financial transaction', 'securities', 'financial legislation']",2014-09-17,2019-09-18,
34,no name,32019R2115,2019/2115,Regulation (EU) 2019/2115 of the European Parliament and of the Council of 27 November 2019 amending Directive 2014/65/EU and Regulations (EU) No 596/2014 and (EU) 2017/1129 as regards the promotion of the use of SME growth markets (Text with EEA relevance),2019-11-27,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2115&lang=en&type=quick&qid=1691484957736,"['investment protection', 'financial instrument', 'bond', 'small and medium-sized enterprises', 'stock-exchange listing', 'economic growth', 'investment company', 'capital market', 'start-up', 'issue of securities']",2019-12-31,,2019-11-27
35,no name,32017R0565,2017/565,Commission Delegated Regulation (EU) 2017/565 of 25 April 2016 supplementing Directive 2014/65/EU of the European Parliament and of the Council as regards organisational requirements and operating conditions for investment firms and defined terms for the purposes of that Directive (Text with EEA relevance. ),2016-04-25,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2017%2F565&lang=en&type=quick&qid=1691484987407,"['trade information', 'financial instrument', 'management audit', 'provision of services', 'investment company', 'company structure', 'technical standard', 'financial legislation', 'exchange of information']",2017-04-20,,
36,no name,32017R0589,2017/589,Commission Delegated Regulation (EU) 2017/589 of 19 July 2016 supplementing Directive 2014/65/EU of the European Parliament and of the Council with regard to regulatory technical standards specifying the organisational requirements of investment firms engaged in algorithmic trading (Text with EEA relevance. ),2016-07-19,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2017%2F589&lang=en&type=quick&qid=1691485036174,"['financial instrument', 'management audit', 'financial control', 'trade policy', 'provision of services', 'investment company', 'information system', 'technical standard', 'financial legislation', 'electronic commerce']",2017-04-20,,
