,name,celex_code,doc_code,title,publication_date,doc_type,doc_type_code,author,languages,quicksearch_url,classification,date_effect,date_deadline,date_sig
10,MIFID,32014L0065,2014/65,Directive 2014/65/EU of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Directive 2002/92/EC and Directive 2011/61/EU (recast)  Text with EEA relevance,15/05/2014,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014L0065&lang=en&type=quick&qid=1691483973482,"['financial instrument', 'management audit', 'financial control', 'provision of services', 'investment company', 'financial legislation']",'02/07/2014','01/01/2019','Not found'
11,MIFID_REG,32014R0600,600/2014,Regulation (EU) No 600/2014 of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Regulation (EU) No 648/2012  Text with EEA relevance,15/05/2014,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014R0600&lang=en&type=quick&qid=1691484005766,"['financial instrument', 'administrative check', 'financial control', 'credit institution', 'investment company', 'market supervision', 'financial transaction', 'financial legislation']",'02/07/2014','03/03/2019','Not found'
12,AIFMD,32011L0061,2011/61,Directive 2011/61/EU of the European Parliament and of the Council of 8 June 2011 on Alternative Investment Fund Managers and amending Directives 2003/41/EC and 2009/65/EC and Regulations (EC) No 1060/2009 and (EU) No 1095/2010  Text with EEA relevance,08/06/2011,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32011L0061&lang=en&type=quick&qid=1691484038696,"['freedom to provide services', 'financial market', 'financial control', 'investment company', 'market supervision', 'right of establishment', 'intergovernmental cooperation (EU)', 'exchange of information']",'21/07/2011','Not found','Not found'
13,AIMFD_2,32013R0231,231/2013,"Commission Delegated Regulation (EU) No 231/2013 of 19 December 2012 supplementing Directive 2011/61/EU of the European Parliament and of the Council with regard to exemptions, general operating conditions, depositaries, leverage, transparency and supervision  Text with EEA relevance",19/12/2012,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32013R0231&lang=en&type=quick&qid=1691484087125,"['consumer information', 'financial market', 'financial control', 'investment company', 'market supervision', 'financial legislation', 'indebtedness']",'11/04/2013','Not found','Not found'
14,no name,32019R1156,2019/1156,"Regulation (EU) 2019/1156 of the European Parliament and of the Council of 20 June 2019 on facilitating cross-border distribution of collective investment undertakings and amending Regulations (EU) No 345/2013, (EU) No 346/2013 and (EU) No 1286/2014 (Text with EEA relevance.)",20/06/2019,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1156&lang=en&type=quick&qid=1691484244513,"['marketing', 'investment transaction', 'capital market', 'financial legislation', 'UCITS fund', 'European Securities and Markets Authority', 'alternative investment']",'01/08/2019','02/02/2020','20/06/2019'
15,no name,32021R2259,2021/2259,"Regulation (EU) 2021/2259 of the European Parliament and of the Council of 15 December 2021 amending Regulation (EU) No 1286/2014 as regards the extension of the transitional arrangement for management companies, investment companies and persons advising on, or selling, units of undertakings for collective investment in transferable securities (UCITS) and non-UCITS (Text with EEA relevance)",15/12/2021,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2259&lang=en&type=quick&qid=1691484260315,"['consumer information', 'financial market', 'regulation of investments', 'insurance', 'investment company', 'financial legislation', 'financial services']",'21/12/2021','Not found','15/12/2021'
16,no name,32016R1904,2016/1904,Commission Delegated Regulation (EU) 2016/1904 of 14 July 2016 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council with regard to product intervention (Text with EEA relevance),14/07/2016,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F1904&lang=en&type=quick&qid=1691484289955,"['provision of documents', 'consumer information', 'financial market', 'financial control', 'regulation of investments', 'insurance', 'document', 'disclosure of information']",'18/11/2016','Not found','Not found'
17,no name,32019R1866,2019/1866,Commission Delegated Regulation (EU) 2019/1866 of 3 July 2019 amending Delegated Regulation (EU) 2017/653 to align the transitional arrangement for PRIIP manufacturers offering units of funds referred to in Article 32 of Regulation (EU) No 1286/2014 of the European Parliament and of the Council as underlying investment options with the prolonged exemption period under that Article (Text with EEA relevance),03/07/2019,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1866&lang=en&type=quick&qid=1691484334751,"['consumer information', 'regulation of investments', 'insurance', 'retail trade', 'disclosure of information', 'financial services']",'28/11/2019','Not found','Not found'
18,no name,32016R2340,2016/2340,Regulation (EU) 2016/2340 of the European Parliament and of the Council of 14 December 2016 amending Regulation (EU) No 1286/2014 on key information documents for packaged retail and insurance-based investment products as regards the date of its application (Text with EEA relevance ),14/12/2016,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F2340&lang=en&type=quick&qid=1691484379543,"['consumer information', 'regulation of investments', 'insurance', 'retail trade', 'technical standard', 'financial services']",'24/12/2016','Not found','14/12/2016'
19,no name,32022R1666,2022/1666,"Commission Delegated Regulation (EU) 2022/1666 of 13 June 2022 correcting the Danish language version of Annex II to Delegated Regulation (EU) 2017/653 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance)",13/06/2022,Delegated regulation,R,"European Commission, Directorate-General for Translation","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F1666&lang=en&type=quick&qid=1691484409321,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",'19/10/2022','Not found','Not found'
20,no name,32018R0977,2018/977,"Commission Delegated Regulation (EU) 2018/977 of 4 April 2018 correcting the Bulgarian language version of Delegated Regulation (EU) 2017/653 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance.)",04/04/2018,Delegated regulation,R,"European Commission, Directorate-General for Translation","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2018%2F977&lang=en&type=quick&qid=1691484451630,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",'01/08/2018','Not found','Not found'
21,no name,32022R0975,2022/975,Commission Delegated Regulation (EU) 2022/975 of 17 March 2022 amending the regulatory technical standards laid down in Delegated Regulation (EU) 2017/653 as regards the extension of the transitional arrangement laid down in Article 14(2) of that Regulation and amending the regulatory technical standards laid down in Delegated Regulation (EU) 2021/2268 as regards the date of application of that Regulation (Text with EEA relevance),17/03/2022,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F975&lang=en&type=quick&qid=1691484496786,"['consumer information', 'regulation of investments', 'insurance', 'investment company', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services']",'14/07/2022','Not found','Not found'
22,no name,32017R2402,2017/2402,"Regulation (EU) 2017/2402 of the European Parliament and of the Council of 12 December 2017 laying down a general framework for securitisation and creating a specific framework for simple, transparent and standardised securitisation, and amending Directives 2009/65/EC, 2009/138/EC and 2011/61/EU and Regulations (EC) No 1060/2009 and (EU) No 648/2012",12/12/2017,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2017%2F2402&lang=en&type=quick&qid=1691484542811,"['investment', 'financial market', 'banking', 'credit', 'credit institution', 'investment company', 'capital market', 'financial legislation']",'17/01/2018','17/01/2018','12/12/2017'
23,no name,32019L2034,2019/2034,"Directive (EU) 2019/2034 of the European Parliament and of the Council of 27 November 2019 on the prudential supervision of investment firms and amending Directives 2002/87/EC, 2009/65/EC, 2011/61/EU, 2013/36/EU, 2014/59/EU and 2014/65/EU (Text with EEA relevance)",27/11/2019,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2034&lang=en&type=quick&qid=1691484558333,"['financial control', 'private-sector liquidity', 'investment company', 'capital market', 'disclosure of information', 'financial legislation', 'financial supervision']",'25/12/2019','26/06/2021','27/11/2019'
24,no name,32019L2162,2019/2162,Directive (EU) 2019/2162 of the European Parliament and of the Council of 27 November 2019 on the issue of covered bonds and covered bond public supervision and amending Directives 2009/65/EC and 2014/59/EU (Text with EEA relevance),27/11/2019,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2162&lang=en&type=quick&qid=1691484573516,"['investment', 'money-market liquidity', 'bond', 'credit institution', 'investment company', 'mortgage bank', 'capital market', 'financial legislation', 'issue of securities', 'financial supervision']",'07/01/2020','08/07/2022','27/11/2019'
25,no name,32022L2556,2022/2556,"Directive (EU) 2022/2556 of the European Parliament and of the Council of 14 December 2022 amending Directives 2009/65/EC, 2009/138/EC, 2011/61/EU, 2013/36/EU, 2014/59/EU, 2014/65/EU, (EU) 2015/2366 and (EU) 2016/2341 as regards digital operational resilience for the financial sector (Text with EEA relevance)",14/12/2022,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F2556&lang=en&type=quick&qid=1691484588986,"['innovation', 'financial institution', 'electronic money', 'information technology', 'financial legislation', 'financial services', 'information security', 'virtual currency', 'digital single market', 'blockchain']",'16/01/2023','Not found','14/12/2022'
26,no name,32016R0438,2016/438,Commission Delegated Regulation (EU) 2016/438 of 17 December 2015 supplementing Directive 2009/65/EC of the European Parliament and of the Council with regard to obligations of depositaries (Text with EEA relevance),17/12/2015,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F438&lang=en&type=quick&qid=1691484619103,"['investment protection', 'business management', 'financial management', 'holding company', 'approximation of laws', 'investment company', 'securities', 'right of establishment', 'financial legislation']",'13/04/2016','Not found','Not found'
27,no name,32019L1160,2019/1160,Directive (EU) 2019/1160 of the European Parliament and of the Council of 20 June 2019 amending Directives 2009/65/EC and 2011/61/EU with regard to cross-border distribution of collective investment undertakings (Text with EEA relevance.),20/06/2019,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1160&lang=en&type=quick&qid=1691484709754,"['marketing', 'investment transaction', 'capital market', 'financial legislation', 'UCITS fund', 'European Securities and Markets Authority', 'alternative investment']",'01/08/2019','02/08/2023','20/06/2019'
28,no name,32013D0014,2013/14,"2013/14/EU: Decision of the European Parliament and of the Council of 12 December 2012 on the mobilisation of the European Globalisation Adjustment Fund, in accordance with point 28 of the Interinstitutional Agreement of 17 May 2006 between the European Parliament, the Council and the Commission on budgetary discipline and sound financial management (application EGF/2011/013 DK/Flextronics from Denmark)",12/12/2012,Decision,D,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2013%2F14&lang=en&type=quick&qid=1691484724041,"['electronics industry', 'collective dismissal', 'payment appropriation', 'Denmark', 'general budget (EU)', 'distribution of EU funding', 'commitment of expenditure', 'European Globalisation Adjustment Fund']",'01/02/2013','Not found','Not found'
29,no name,32021L2261,2021/2261,Directive (EU) 2021/2261 of the European Parliament and of the Council of 15 December 2021 amending Directive 2009/65/EC as regards the use of key information documents by management companies of undertakings for collective investment in transferable securities (UCITS) (Text with EEA relevance),15/12/2021,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2261&lang=en&type=quick&qid=1691484769529,"['investment protection', 'consumer information', 'approximation of laws', 'regulation of investments', 'investment company', 'securities', 'disclosure of information', 'financial legislation', 'financial services']",'21/12/2021','Not found','15/12/2021'
30,no name,32021R2178,2021/2178,"Commission Delegated Regulation (EU) 2021/2178 of 6 July 2021 supplementing Regulation (EU) 2020/852 of the European Parliament and of the Council by specifying the content and presentation of information to be disclosed by undertakings subject to Articles 19a or 29a of Directive 2013/34/EU concerning environmentally sustainable economic activities, and specifying the methodology to comply with that disclosure obligation (Text with EEA relevance)",06/07/2021,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2178&lang=en&type=quick&qid=1691484835375,"['investment', 'credit institution', 'insurance company', 'technical specification', 'investment company', 'climate change policy', 'disclosure of information', 'economic instrument for the environment', 'EU environmental policy', 'economic activity']",'30/12/2021','31/12/2022','Not found'
31,no name,32022R0246,2022/246,"Commission Implementing Regulation (EU) 2022/246 of 13 December 2021 amending Implementing Regulation (EU) 2017/39 as regards the aid applications, payment of the aid and on-the-spot checks",13/12/2021,Implementing regulation,R,"European Commission, Directorate-General for Agriculture and Rural Development","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F246&lang=en&type=quick&qid=1691484866824,"['fruit', 'eating habits', 'drinking milk', 'vegetable', 'supply', 'costing', 'EU Member State', 'eligibility criteria', 'EU aid', 'educational institution']",'25/02/2022','Not found','Not found'
32,no name,32022R0858,2022/858,"Regulation (EU) 2022/858 of the European Parliament and of the Council of 30 May 2022 on a pilot regime for market infrastructures based on distributed ledger technology, and amending Regulations (EU) No 600/2014 and (EU) No 909/2014 and Directive 2014/65/EU (Text with EEA relevance)",30/05/2022,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F858&lang=en&type=quick&qid=1691484911569,"['investment protection', 'financial instrument', 'electronic money', 'consumer protection', 'information technology applications', 'financial legislation', 'financial services', 'virtual currency', 'digital single market', 'blockchain']",'04/07/2021','23/03/2023','30/05/2022'
33,no name,32014R0909,909/2014,Regulation (EU) No 909/2014 of the European Parliament and of the Council of 23 July 2014 on improving securities settlement in the European Union and on central securities depositories and amending Directives 98/26/EC and 2014/65/EU and Regulation (EU) No 236/2012  Text with EEA relevance,23/07/2014,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=909%2F2014&lang=en&type=quick&qid=1691484927052,"['financial institution', 'financial instrument', 'liquidity control', 'financial control', 'sales agent', 'financial transaction', 'securities', 'financial legislation']",'17/09/2014','18/09/2019','Not found'
34,no name,32019R2115,2019/2115,Regulation (EU) 2019/2115 of the European Parliament and of the Council of 27 November 2019 amending Directive 2014/65/EU and Regulations (EU) No 596/2014 and (EU) 2017/1129 as regards the promotion of the use of SME growth markets (Text with EEA relevance),27/11/2019,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F2115&lang=en&type=quick&qid=1691484957736,"['investment protection', 'financial instrument', 'bond', 'small and medium-sized enterprises', 'stock-exchange listing', 'economic growth', 'investment company', 'capital market', 'start-up', 'issue of securities']",'31/12/2019','Not found','27/11/2019'
35,no name,32017R0565,2017/565,Commission Delegated Regulation (EU) 2017/565 of 25 April 2016 supplementing Directive 2014/65/EU of the European Parliament and of the Council as regards organisational requirements and operating conditions for investment firms and defined terms for the purposes of that Directive (Text with EEA relevance. ),25/04/2016,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2017%2F565&lang=en&type=quick&qid=1691484987407,"['trade information', 'financial instrument', 'management audit', 'provision of services', 'investment company', 'company structure', 'technical standard', 'financial legislation', 'exchange of information']",'20/04/2017','Not found','Not found'
